# Differential cross section		
# Author: P. Swaczyna	Princeton University	(swaczyna@princeton.edu)
# Date: 	Fri 4 Dec 2020 10:41:05	
# 		
# Elastic collision: He^0 + He^0 -> He^0 + He^0		
# 		
# Red. mass: 	1.8642000787E+9	 eV/c^2
# CM energy: 	1.5848931925E+1	 eV
# Rel speed: 	3.9092139491E+6	 cm/s
# Tot sigma: 	7.8986331342E+1	 a.u.
# Int sigma: 	7.8986331342E+1	 a.u.
# 		
# Columns:		
# the <- scattering angle (rad)		
# dcs <- dsigma/dOmega*2*pi*sin(the) (a.u. = 2.8002852056E-17 cm^2)		
# wei <- weight for cross section integration (approx. width of angle bin)		
# 		
# the	dcs	wei
7.6907532846E-6	9.3672252884E+0	1.9736940383E-5
4.0521979771E-5	4.9354023189E+1	4.5943520243E-5
9.9587300392E-5	1.2127817124E+2	7.2188137769E-5
1.8489884726E-4	2.2509030239E+2	9.8434919423E-5
2.9645680168E-4	3.6061069192E+2	1.2468073282E-4
4.3425968311E-4	5.2744712593E+2	1.5092466531E-4
5.9830531657E-4	7.2487379516E+2	1.7716615272E-4
7.8859101285E-4	9.5168398938E+2	2.0340471372E-4
1.0051136166E-3	1.2060216748E+3	2.2963989267E-4
1.2478695220E-3	1.4851990355E+3	2.5587124334E-4
1.5168546797E-3	1.7855104332E+3	2.8209832342E-4
1.8120645986E-3	2.1020573982E+3	3.0832069259E-4
2.1334943481E-3	2.4286039066E+3	3.3453791144E-4
2.4811385584E-3	2.7574858560E+3	3.6074954110E-4
2.8549914211E-3	3.0796026243E+3	3.8695514312E-4
3.2550466893E-3	3.3845209101E+3	4.1315427928E-4
3.6812976783E-3	3.6607204931E+3	4.3934651156E-4
4.1337372652E-3	3.8960067689E+3	4.6553140213E-4
4.6123578895E-3	4.0781045917E+3	4.9170851331E-4
5.1171515529E-3	4.1954311359E+3	5.1787740760E-4
5.6481098199E-3	4.2380219369E+3	5.4403764760E-4
6.2052238176E-3	4.1985549442E+3	5.7018879612E-4
6.7884842360E-3	4.0733849152E+3	5.9633041614E-4
7.3978813281E-3	3.8634692527E+3	6.2246207073E-4
8.0334049101E-3	3.5750427689E+3	6.4858332323E-4
8.6950443616E-3	3.2198904337E+3	6.7469373705E-4
9.3827886258E-3	2.8150816100E+3	7.0079287589E-4
1.0096626210E-2	2.3820725276E+3	7.2688030358E-4
1.0836545184E-2	1.9451577063E+3	7.5295558414E-4
1.1602533184E-2	1.5293513146E+3	7.7901828182E-4
1.2394577408E-2	1.1578938180E+3	8.0506796108E-4
1.3212664621E-2	8.4968765370E+2	8.3110418659E-4
1.4056781152E-2	6.1704241869E+2	8.5712652325E-4
1.4926912893E-2	4.6412885210E+2	8.8313453619E-4
1.5823045305E-2	3.8648169597E+2	9.0912779076E-4
1.6745163410E-2	3.7174835103E+2	9.3510585261E-4
1.7693251801E-2	4.0166729473E+2	9.6106828758E-4
1.8667294632E-2	4.5501382203E+2	9.8701466182E-4
1.9667275626E-2	5.1102483796E+2	1.0129445417E-3
2.0693178073E-2	5.5266957379E+2	1.0388574939E-3
2.1744984827E-2	5.6911945999E+2	1.0647530855E-3
2.2822678313E-2	5.5691061703E+2	1.0906308836E-3
2.3926240519E-2	5.1956904982E+2	1.1164904558E-3
2.5055653005E-2	4.6582209807E+2	1.1423313699E-3
2.6210896896E-2	4.0686004742E+2	1.1681531941E-3
2.7391952886E-2	3.5334272958E+2	1.1939554970E-3
2.8598801239E-2	3.1289489902E+2	1.2197378472E-3
2.9831421786E-2	2.8867878778E+2	1.2454998140E-3
3.1089793929E-2	2.7931264503E+2	1.2712409668E-3
