# Differential cross section		
# Author: P. Swaczyna	Princeton University	(swaczyna@princeton.edu)
# Date: 	Wed 17 Feb 2021 06:50:31	
# 		
# Indistinguishable particle collision: He^0 + He^+ -> He^0 + He^+		
# 		
# Red. mass: 	1.8640723202E+9	 eV/c^2
# CM energy: 	5.5590425727E-3	 eV
# Rel speed: 	7.3215717368E+4	 cm/s
# Tot sigma: 	1.9503613329E+3	 a.u.
# Int sigma: 	1.9503613329E+3	 a.u.
# 		
# Columns:		
# the <- scattering angle (rad)		
# dcs <- dsigma/dOmega*2*pi*sin(the) (a.u. = 2.8002852056E-17 cm^2)		
# wei <- weight for cross section integration (approx. width of angle bin)		
# 		
# the	dcs	wei
7.6907532846E-6	6.2802809834E+0	1.9736940383E-5
4.0521979771E-5	3.3090111280E+1	4.5943520243E-5
9.9587300392E-5	8.1320084336E+1	7.2188137769E-5
1.8489884726E-4	1.5096902979E+2	9.8434919423E-5
2.9645680168E-4	2.4200603515E+2	1.2468073282E-4
4.3425968311E-4	3.5436257790E+2	1.5092466531E-4
5.9830531657E-4	4.8791246451E+2	1.7716615272E-4
7.8859101285E-4	6.4244721472E+2	2.0340471372E-4
1.0051136166E-3	8.1764861621E+2	2.2963989267E-4
1.2478695220E-3	1.0130604220E+3	2.5587124334E-4
1.5168546797E-3	1.2280619394E+3	2.8209832342E-4
1.8120645986E-3	1.4618471248E+3	3.0832069259E-4
2.1334943481E-3	1.7134135349E+3	3.3453791144E-4
2.4811385584E-3	1.9815658173E+3	3.6074954110E-4
2.8549914211E-3	2.2649380246E+3	3.8695514312E-4
3.2550466893E-3	2.5620375711E+3	4.1315427928E-4
3.6812976783E-3	2.8713108643E+3	4.3934651156E-4
4.1337372652E-3	3.1912265328E+3	4.6553140213E-4
4.6123578895E-3	3.5203670848E+3	4.9170851331E-4
5.1171515529E-3	3.8575146241E+3	5.1787740760E-4
5.6481098199E-3	4.2017122503E+3	5.4403764760E-4
6.2052238176E-3	4.5522816432E+3	5.7018879612E-4
6.7884842360E-3	4.9087807141E+3	5.9633041614E-4
7.3978813281E-3	5.2708942431E+3	6.2246207073E-4
8.0334049101E-3	5.6382651305E+3	6.4858332323E-4
8.6950443616E-3	6.0102926270E+3	6.7469373705E-4
9.3827886258E-3	6.3859428311E+3	7.0079287589E-4
1.0096626210E-2	6.7636297127E+3	7.2688030358E-4
1.0836545184E-2	7.1412241599E+3	7.5295558414E-4
1.1602533184E-2	7.5162269539E+3	7.7901828182E-4
1.2394577408E-2	7.8860968070E+3	8.0506796108E-4
1.3212664621E-2	8.2486640764E+3	8.3110418659E-4
1.4056781152E-2	8.6025043030E+3	8.5712652325E-4
1.4926912893E-2	8.9471218051E+3	8.8313453619E-4
1.5823045305E-2	9.2828275252E+3	9.0912779076E-4
1.6745163410E-2	9.6102933154E+3	9.3510585261E-4
1.7693251801E-2	9.9299024490E+3	9.6106828758E-4
1.8667294632E-2	1.0241140010E+4	9.8701466182E-4
1.9667275626E-2	1.0542311149E+4	1.0129445417E-3
2.0693178073E-2	1.0830789270E+4	1.0388574939E-3
2.1744984827E-2	1.1103777161E+4	1.0647530855E-3
2.2822678313E-2	1.1359284815E+4	1.0906308836E-3
2.3926240519E-2	1.1596833502E+4	1.1164904558E-3
2.5055653005E-2	1.1817441555E+4	1.1423313699E-3
2.6210896896E-2	1.2022784270E+4	1.1681531941E-3
2.7391952886E-2	1.2213911327E+4	1.1939554970E-3
2.8598801239E-2	1.2390260904E+4	1.2197378472E-3
2.9831421786E-2	1.2549651863E+4	1.2454998140E-3
3.1089793929E-2	1.2689395010E+4	1.2712409668E-3
3.2373896638E-2	1.2807898457E+4	1.2969608754E-3
3.3683708455E-2	1.2905667254E+4	1.3226591101E-3
3.5019207490E-2	1.2984874256E+4	1.3483352414E-3
3.6380371427E-2	1.3047675353E+4	1.3739888402E-3
3.7767177517E-2	1.3094482175E+4	1.3996194778E-3
3.9179602586E-2	1.3123605102E+4	1.4252267258E-3
4.0617623030E-2	1.3132696535E+4	1.4508101565E-3
4.2081214817E-2	1.3120894224E+4	1.4763693421E-3
4.3570353490E-2	1.3089786969E+4	1.5019038556E-3
4.5085014162E-2	1.3042209658E+4	1.5274132703E-3
4.6625171522E-2	1.2979866114E+4	1.5528971598E-3
4.8190799831E-2	1.2902036434E+4	1.5783550984E-3
4.9781872927E-2	1.2806732145E+4	1.6037866605E-3
5.1398364219E-2	1.2693234656E+4	1.6291914212E-3
5.3040246694E-2	1.2563378218E+4	1.6545689559E-3
5.4707492914E-2	1.2420113760E+4	1.6799188405E-3
5.6400075017E-2	1.2264863079E+4	1.7052406515E-3
5.8117964718E-2	1.2096661191E+4	1.7305339655E-3
5.9861133308E-2	1.1914134172E+4	1.7557983600E-3
6.1629551657E-2	1.1717983944E+4	1.7810334128E-3
