# Differential cross section		
# Author: P. Swaczyna	Princeton University	(swaczyna@princeton.edu)
# Date: 	Wed 17 Feb 2021 07:09:11	
# 		
# Indistinguishable particle collision: He^0 + He^+ -> He^0 + He^+		
# 		
# Red. mass: 	1.8640723202E+9	 eV/c^2
# CM energy: 	2.8183829313E+1	 eV
# Rel speed: 	5.2131992242E+6	 cm/s
# Tot sigma: 	2.0874697758E+2	 a.u.
# Int sigma: 	2.0874623470E+2	 a.u.
# 		
# Columns:		
# the <- scattering angle (rad)		
# dcs <- dsigma/dOmega*2*pi*sin(the) (a.u. = 2.8002852056E-17 cm^2)		
# wei <- weight for cross section integration (approx. width of angle bin)		
# 		
# the	dcs	wei
7.6907532846E-6	1.2888362159E+2	1.9736940383E-5
4.0521979771E-5	6.7844023728E+2	4.5943520243E-5
9.9587300392E-5	1.6594000223E+3	7.2188137769E-5
1.8489884726E-4	3.0417464051E+3	9.8434919423E-5
2.9645680168E-4	4.7654137721E+3	1.2468073282E-4
4.3425968311E-4	6.7680978917E+3	1.5092466531E-4
5.9830531657E-4	9.0039291389E+3	1.7716615272E-4
7.8859101285E-4	1.1384131412E+4	2.0340471372E-4
1.0051136166E-3	1.3789453521E+4	2.2963989267E-4
1.2478695220E-3	1.6134439275E+4	2.5587124334E-4
1.5168546797E-3	1.8269678562E+4	2.8209832342E-4
1.8120645986E-3	2.0068642756E+4	3.0832069259E-4
2.1334943481E-3	2.1371889062E+4	3.3453791144E-4
2.4811385584E-3	2.2044130815E+4	3.6074954110E-4
2.8549914211E-3	2.1955431705E+4	3.8695514312E-4
3.2550466893E-3	2.1025687076E+4	4.1315427928E-4
3.6812976783E-3	1.9239967459E+4	4.3934651156E-4
4.1337372652E-3	1.6672525545E+4	4.6553140213E-4
4.6123578895E-3	1.3504147620E+4	4.9170851331E-4
5.1171515529E-3	1.0020333280E+4	5.1787740760E-4
5.6481098199E-3	6.5872711304E+3	5.4403764760E-4
6.2052238176E-3	3.6009893150E+3	5.7018879612E-4
6.7884842360E-3	1.4122884566E+3	5.9633041614E-4
7.3978813281E-3	2.4096671943E+2	6.2246207073E-4
8.0334049101E-3	1.0323465517E+2	6.4858332323E-4
8.6950443616E-3	7.8209979692E+2	6.7469373705E-4
9.3827886258E-3	1.8654864668E+3	7.0079287589E-4
1.0096626210E-2	2.8561593496E+3	7.2688030358E-4
1.0836545184E-2	3.3298596510E+3	7.5295558414E-4
1.1602533184E-2	3.0904806171E+3	7.7901828182E-4
1.2394577408E-2	2.2453709267E+3	8.0506796108E-4
1.3212664621E-2	1.1639493587E+3	8.3110418659E-4
1.4056781152E-2	3.1190392919E+2	8.5712652325E-4
1.4926912893E-2	2.9288113876E+1	8.8313453619E-4
1.5823045305E-2	3.6107247974E+2	9.0912779076E-4
1.6745163410E-2	1.0345973922E+3	9.3510585261E-4
1.7693251801E-2	1.6112895575E+3	9.6106828758E-4
1.8667294632E-2	1.7364936394E+3	9.8701466182E-4
1.9667275626E-2	1.3441729155E+3	1.0129445417E-3
2.0693178073E-2	6.8734928515E+2	1.0388574939E-3
2.1744984827E-2	1.6478186266E+2	1.0647530855E-3
2.2822678313E-2	5.2463746079E+1	1.0906308836E-3
2.3926240519E-2	3.2236350882E+2	1.1164904558E-3
2.5055653005E-2	6.7995931055E+2	1.1423313699E-3
2.6210896896E-2	7.9801334708E+2	1.1681531941E-3
2.7391952886E-2	5.7242774881E+2	1.1939554970E-3
2.8598801239E-2	1.9860158634E+2	1.2197378472E-3
2.9831421786E-2	1.2468340420E+0	1.2454998140E-3
3.1089793929E-2	1.5277918938E+2	1.2712409668E-3
3.2373896638E-2	5.1797643736E+2	1.2969608754E-3
3.3683708455E-2	7.6758775445E+2	1.3226591101E-3
3.5019207490E-2	6.7219448781E+2	1.3483352414E-3
3.6380371427E-2	3.1517416618E+2	1.3739888402E-3
